Episode 362/1000  Total Reward: 256.00  Epsilon: 0.0326
Episode 363/1000  Total Reward: 170.00  Epsilon: 0.0324
Episode 364/1000  Total Reward: 200.00  Epsilon: 0.0323
Episode 365/1000  Total Reward: 216.00  Epsilon: 0.0321
Episode 366/1000  Total Reward: 292.00  Epsilon: 0.0319
Episode 367/1000  Total Reward: 298.00  Epsilon: 0.0318
Episode 368/1000  Total Reward: 258.00  Epsilon: 0.0316
Episode 369/1000  Total Reward: 296.00  Epsilon: 0.0315
Episode 370/1000  Total Reward: 294.00  Epsilon: 0.0313
Episode 371/1000  Total Reward: 256.00  Epsilon: 0.0311
Episode 372/1000  Total Reward: 256.00  Epsilon: 0.0310
Episode 373/1000  Total Reward: 300.00  Epsilon: 0.0308
Episode 374/1000  Total Reward: 294.00  Epsilon: 0.0307
Episode 375/1000  Total Reward: 294.00  Epsilon: 0.0305
Episode 376/1000  Total Reward: 256.00  Epsilon: 0.0304
Episode 377/1000  Total Reward: 300.00  Epsilon: 0.0302
Episode 378/1000  Total Reward: 254.00  Epsilon: 0.0301
Episode 379/1000  Total Reward: 260.00  Epsilon: 0.0299
Episode 380/1000  Total Reward: 296.00  Epsilon: 0.0298
Episode 381/1000  Total Reward: 260.00  Epsilon: 0.0296
Episode 382/1000  Total Reward: 256.00  Epsilon: 0.0295
Episode 383/1000  Total Reward: 294.00  Epsilon: 0.0293
Episode 384/1000  Total Reward: 300.00  Epsilon: 0.0292
Episode 385/1000  Total Reward: 296.00  Epsilon: 0.0290
Episode 386/1000  Total Reward: 296.00  Epsilon: 0.0289
Episode 387/1000  Total Reward: 254.00  Epsilon: 0.0287
Episode 388/1000  Total Reward: 294.00  Epsilon: 0.0286
Episode 389/1000  Total Reward: 298.00  Epsilon: 0.0285
Episode 390/1000  Total Reward: 176.00  Epsilon: 0.0283
Episode 391/1000  Total Reward: 256.00  Epsilon: 0.0282
Episode 392/1000  Total Reward: 258.00  Epsilon: 0.0280
Episode 393/1000  Total Reward: 296.00  Epsilon: 0.0279
Episode 394/1000  Total Reward: 294.00  Epsilon: 0.0278
Episode 395/1000  Total Reward: 258.00  Epsilon: 0.0276
Episode 396/1000  Total Reward: 294.00  Epsilon: 0.0275
Episode 397/1000  Total Reward: 294.00  Epsilon: 0.0273
Episode 398/1000  Total Reward: 300.00  Epsilon: 0.0272
Episode 399/1000  Total Reward: 258.00  Epsilon: 0.0271
Episode 400/1000  Total Reward: 294.00  Epsilon: 0.0269
Episode 401/1000  Total Reward: 298.00  Epsilon: 0.0268
Episode 402/1000  Total Reward: 298.00  Epsilon: 0.0267
Episode 403/1000  Total Reward: 256.00  Epsilon: 0.0265
Episode 404/1000  Total Reward: 298.00  Epsilon: 0.0264
Episode 405/1000  Total Reward: 178.00  Epsilon: 0.0263
Episode 406/1000  Total Reward: 258.00  Epsilon: 0.0261
Episode 407/1000  Total Reward: 300.00  Epsilon: 0.0260
Episode 408/1000  Total Reward: 220.00  Epsilon: 0.0259
Episode 409/1000  Total Reward: 220.00  Epsilon: 0.0257
Episode 410/1000  Total Reward: 296.00  Epsilon: 0.0256
Episode 411/1000  Total Reward: 294.00  Epsilon: 0.0255
Episode 412/1000  Total Reward: 218.00  Epsilon: 0.0254
Episode 413/1000  Total Reward: 288.00  Epsilon: 0.0252
Episode 414/1000  Total Reward: 218.00  Epsilon: 0.0251
Episode 415/1000  Total Reward: 298.00  Epsilon: 0.0250
Episode 416/1000  Total Reward: 256.00  Epsilon: 0.0249
Episode 417/1000  Total Reward: 176.00  Epsilon: 0.0247
Episode 418/1000  Total Reward: 212.00  Epsilon: 0.0246
Episode 419/1000  Total Reward: 252.00  Epsilon: 0.0245
Episode 420/1000  Total Reward: 300.00  Epsilon: 0.0244
Episode 421/1000  Total Reward: 220.00  Epsilon: 0.0242
Episode 422/1000  Total Reward: 258.00  Epsilon: 0.0241
Episode 423/1000  Total Reward: 218.00  Epsilon: 0.0240
Episode 424/1000  Total Reward: 296.00  Epsilon: 0.0239
Episode 425/1000  Total Reward: 256.00  Epsilon: 0.0238
Episode 426/1000  Total Reward: 296.00  Epsilon: 0.0236
Episode 427/1000  Total Reward: 298.00  Epsilon: 0.0235
Episode 428/1000  Total Reward: 214.00  Epsilon: 0.0234
Episode 429/1000  Total Reward: 254.00  Epsilon: 0.0233
Episode 430/1000  Total Reward: 256.00  Epsilon: 0.0232
Episode 431/1000  Total Reward: 260.00  Epsilon: 0.0231
Episode 432/1000  Total Reward: 258.00  Epsilon: 0.0229
Episode 433/1000  Total Reward: 290.00  Epsilon: 0.0228
Episode 434/1000  Total Reward: 296.00  Epsilon: 0.0227
Episode 435/1000  Total Reward: 300.00  Epsilon: 0.0226
Episode 436/1000  Total Reward: 178.00  Epsilon: 0.0225
Episode 437/1000  Total Reward: 296.00  Epsilon: 0.0224
